id,numpoints,X,Y
2308,1,653404.0567896,6861405.3137492
2309,1,651771.2537938,6861605.9292653
2310,1,651140.7375925,6858252.4106566
2311,1,653242.5571122,6857676.6867107
2312,13,646205.1193300,6860325.2914087
2313,2,651151.6090727,6864266.5319418
2314,1,652667.4281837,6865410.6695079
2315,1,653412.8918508,6859214.0222443
2316,2,651092.0939966,6864349.4466596
2317,4,653400.2320759,6858108.6220085
2318,5,651220.7234955,6864387.9013454
2319,1,651847.5929930,6863943.2516786
2320,3,653500.7270469,6858781.7948648
2321,1,651516.1316949,6864664.5989503
2322,4,651312.3182259,6864163.6436955
2323,1,653522.6366925,6863692.8560183
2324,2,651279.7513054,6864587.1820398
2325,1,653417.7095201,6863507.7951910
2326,3,645850.8651591,6860666.0821137
2327,3,651428.4756061,6864492.7610304
2328,3,654226.7370276,6863615.4985473
2329,1,651434.1614874,6864156.1762009
2330,2,651089.9060766,6858911.2058439
2331,2,654387.4442049,6863912.4712530
2332,1,654359.7344290,6858737.1203396
2333,1,651459.2212992,6860041.1656487
2334,6,647488.1041900,6862931.3532111
2335,3,647833.9291427,6862899.0423853
2336,2,654328.2718494,6858904.1078796
2337,1,651311.6042119,6864057.0618739
2338,2,648048.4448439,6862954.9405034
2339,1,654166.1660330,6862342.2514556
2340,4,654219.3333148,6862394.4832681
2341,11,654372.7259607,6863155.1336003
2342,1,651429.5995311,6864815.7638530
2343,3,654282.0951834,6863476.6904993
2344,2,645811.8575385,6860279.5674339
2345,3,651553.1834692,6862686.4662099
2346,1,654265.7827050,6863689.8384970
2347,1,651499.5957918,6863108.6530577
2348,2,654241.8418227,6861367.1132334
